"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"164",0,1931,"Forrest","520",21043
"165",1,1929,"Washington","119",72866
"166",1,1931,"Washington","119",50488
"167",1,1929,"Washington","622",1005640
"168",1,1931,"Washington","622",466637
"169",1,1929,"Grenada","101",54857
"170",1,1931,"Grenada","101",47735
"171",1,1929,"Grenada","622",418295
"172",1,1931,"Grenada","622",288773
"173",0,1931,"Lincoln","1677",10211
"174",0,1931,"Harrison","114",40313
"175",0,1931,"Harrison","104",229641
"176",1,1931,"Winston","1502",128535
"177",0,1931,"Harrison","1676",97755
"178",0,1929,"Harrison","520",29245
"179",0,1931,"Harrison","520",17679
"180",0,1931,"Jackson","317",14742
"181",0,1931,"Harrison","317",17649
"182",0,1929,"Harrison","119",9606
"183",0,1931,"Harrison","119",11940
"184",1,1929,"Lowndes","136",140000
"185",1,1931,"Lowndes","136",83321
"186",1,1929,"Alcorn","136",37340
"187",1,1931,"Alcorn","136",34046
"188",0,1929,"Lauderdale","136",141463
"189",0,1931,"Lauderdale","136",89810
"190",1,1929,"Lee","136",78201
"191",1,1931,"Lee","136",53877
"192",0,1931,"Copiah","1677",8888
"193",0,1929,"Forrest","651",1382919
"194",0,1931,"Forrest","101",117584
"195",0,1929,"Forrest","118",105303
"196",0,1931,"Forrest","118",45490
"197",0,1929,"Forrest","116",134500
"198",0,1931,"Forrest","114",96285
"199",0,1931,"Copiah","119",13600
"200",0,1929,"Copiah","622",934574
"201",0,1931,"Copiah","622",463549
"202",0,1929,"Hinds","520",195000
"203",0,1931,"Hinds","520",137500
"204",1,1929,"Washington","622",1172453
"205",1,1931,"Washington","622",797442
"206",1,1929,"Marshall","119",13950
"207",1,1931,"Marshall","119",10785
"208",1,1929,"Marshall","1014",16000
"209",1,1929,"Sunflower","136",79259
"210",1,1931,"Sunflower","136",30648
"211",0,1929,"Adams","136",20075
"212",0,1931,"Adams","136",16850
"213",1,1931,"Union","119",10369
"214",0,1931,"Lincoln","119",16000
"215",1,1931,"Lee","119",17696
"216",1,1929,"Chickasaw","101",51615
"217",0,1929,"Forrest","136",55423
"218",0,1931,"Forrest","136",39230
"219",1,1931,"Humphreys","622",206744
"220",0,1931,"Neshoba","119",12978
"221",0,1931,"Jackson","136",28014
"222",0,1931,"Pike","1502",1746029
"223",1,1929,"Noxubee","119",12000
